epoch,train_loss,train_loss_cls,train_loss_iou,train_loss_dfl,train_loss_pose_cls,train_loss_pose_reg,val_loss,val_loss_cls,val_loss_iou,val_loss_dfl,val_loss_pose_cls,val_loss_pose_reg,ap,ar,ap_0.50,ap_0.75,ar_0.50,ar_0.75
60,2.6009,0.235,0.3101,0.0129,0.0008,2.042,2.1342,0.2404,0.2667,0.0123,0.0008,1.6139,0.2775,0.5123,0.3056,0.5424,0.2782,0.5153
61,2.5652,0.2354,0.3106,0.0129,0.0008,2.0056,2.1293,0.2411,0.2681,0.0123,0.0008,1.607,0.2781,0.5159,0.3066,0.5458,0.2791,0.5188
62,2.5551,0.2364,0.3063,0.0128,0.001,1.9987,2.1385,0.24,0.2622,0.0122,0.0009,1.6232,0.2788,0.512,0.3082,0.5413,0.2803,0.516
63,2.5449,0.234,0.3058,0.0129,0.0009,1.9913,2.1189,0.2374,0.2681,0.0122,0.0008,1.6004,0.2892,0.5173,0.3172,0.5469,0.2935,0.5212
64,2.5328,0.2345,0.3053,0.0129,0.0007,1.9794,2.0963,0.2389,0.2602,0.0122,0.0009,1.5841,0.2874,0.5262,0.3193,0.558,0.2864,0.5295
65,2.4628,0.2344,0.3031,0.0128,0.0007,1.9117,2.0746,0.2395,0.2593,0.0122,0.001,1.5626,0.2818,0.5249,0.3104,0.5549,0.2828,0.5292
66,2.6511,0.2332,0.3081,0.0128,0.0008,2.0963,2.1067,0.2413,0.2592,0.0122,0.0011,1.593,0.2709,0.5138,0.3003,0.5455,0.2722,0.5167
67,2.598,0.233,0.3077,0.0127,0.0007,2.0438,2.1577,0.2407,0.2594,0.0122,0.0011,1.6444,0.2675,0.5103,0.298,0.5417,0.2701,0.5153
68,2.4534,0.2355,0.302,0.0127,0.0007,1.9026,2.0878,0.2412,0.2579,0.0121,0.0009,1.5757,0.2773,0.514,0.3071,0.5448,0.2782,0.5184
69,2.3872,0.2377,0.2976,0.0127,0.0008,1.8384,2.055,0.2408,0.2578,0.0122,0.0009,1.5433,0.2751,0.5109,0.3071,0.5406,0.2774,0.5153
70,2.3921,0.2358,0.2991,0.0127,0.0009,1.8436,2.0259,0.2424,0.2564,0.0121,0.001,1.514,0.2858,0.5152,0.3169,0.5455,0.286,0.5177
71,2.497,0.2345,0.3045,0.0127,0.0009,1.9443,2.0677,0.2427,0.2575,0.0121,0.0009,1.5545,0.2771,0.5174,0.3048,0.5472,0.2809,0.5201
72,2.3778,0.2364,0.2978,0.0127,0.0009,1.83,2.0468,0.2448,0.257,0.0121,0.0009,1.532,0.2621,0.5053,0.2893,0.5351,0.2618,0.5076
73,2.4796,0.2379,0.3016,0.0127,0.0007,1.9267,2.0471,0.2468,0.252,0.0121,0.0007,1.5355,0.2706,0.5087,0.2969,0.5392,0.2744,0.5122
