epoch,train_loss,train_loss_cls,train_loss_iou,train_loss_dfl,train_loss_pose_cls,train_loss_pose_reg,val_loss,val_loss_cls,val_loss_iou,val_loss_dfl,val_loss_pose_cls,val_loss_pose_reg,ap,ar,ap_0.50,ap_0.75,ar_0.50,ar_0.75
45,2.343,0.2333,0.3052,0.0096,0.0008,1.7941,2.2079,0.2384,0.2813,0.009,0.0013,1.678,0.2621,0.5038,0.2935,0.5372,0.2593,0.5059
46,2.3037,0.2348,0.2998,0.0095,0.001,1.7587,2.1747,0.2364,0.2792,0.0088,0.0011,1.6491,0.2657,0.5077,0.2949,0.5378,0.2612,0.5094
47,2.2806,0.2335,0.2994,0.0095,0.001,1.7372,2.1715,0.2356,0.2785,0.0089,0.0011,1.6474,0.2722,0.5157,0.3032,0.5458,0.268,0.5174
48,2.2708,0.2347,0.2985,0.0095,0.0009,1.7273,2.1703,0.2366,0.275,0.0089,0.0011,1.6487,0.2753,0.5149,0.3056,0.5448,0.2708,0.517
49,2.2465,0.2337,0.2997,0.0095,0.0009,1.7027,2.1373,0.238,0.2762,0.0088,0.0011,1.6133,0.2668,0.5071,0.2973,0.5382,0.262,0.5076
50,2.2037,0.2343,0.2963,0.0095,0.001,1.6626,2.131,0.236,0.2734,0.0089,0.0012,1.6115,0.2728,0.5131,0.3052,0.5437,0.2684,0.5139
51,2.2162,0.2353,0.2974,0.0095,0.0009,1.6731,2.1442,0.2406,0.2708,0.0088,0.001,1.623,0.253,0.4933,0.2835,0.5247,0.2497,0.4948
52,2.1713,0.2352,0.2932,0.0095,0.0009,1.6325,2.0937,0.2373,0.2721,0.0089,0.0012,1.5743,0.2653,0.5044,0.2971,0.5351,0.2607,0.5059
53,2.1665,0.2342,0.2938,0.0095,0.0008,1.6283,2.0793,0.2385,0.2717,0.0088,0.0012,1.5591,0.2615,0.5033,0.2925,0.5337,0.2581,0.5049
54,2.1461,0.235,0.2909,0.0095,0.001,1.6097,2.048,0.2383,0.2641,0.0088,0.001,1.5357,0.275,0.5166,0.3063,0.5458,0.2703,0.5181
55,2.1242,0.235,0.2893,0.0095,0.0007,1.5898,2.0516,0.2397,0.2621,0.0089,0.0011,1.5398,0.2723,0.5125,0.3049,0.541,0.268,0.5146
56,2.0885,0.2347,0.2883,0.0095,0.0009,1.5552,2.0305,0.2389,0.2584,0.0089,0.0012,1.5232,0.2774,0.5162,0.3098,0.5458,0.272,0.5174
57,2.0972,0.2344,0.2889,0.0095,0.0008,1.5636,2.027,0.2393,0.2647,0.0088,0.0011,1.513,0.2683,0.5088,0.297,0.5382,0.2623,0.5094
58,2.0721,0.2347,0.2867,0.0095,0.001,1.5403,2.021,0.2396,0.2593,0.0088,0.001,1.5122,0.2721,0.5136,0.3048,0.5431,0.2678,0.5142
59,2.0594,0.2356,0.2838,0.0095,0.0009,1.5296,2.0369,0.2395,0.2582,0.0088,0.0012,1.5291,0.2787,0.5207,0.3132,0.5507,0.2765,0.5215
60,2.0403,0.2365,0.2857,0.0094,0.0008,1.5079,2.0127,0.2385,0.2627,0.0088,0.0013,1.5013,0.2759,0.5143,0.3099,0.5455,0.2695,0.5146
61,2.0069,0.2354,0.2861,0.0095,0.0008,1.475,2.0116,0.2411,0.2629,0.0089,0.0011,1.4977,0.2593,0.5015,0.2925,0.5316,0.2571,0.5021
62,2.0256,0.2373,0.2848,0.0095,0.0012,1.4927,2.0024,0.2408,0.2634,0.0089,0.0012,1.4881,0.2661,0.5087,0.2948,0.5375,0.2606,0.5097
63,2.0023,0.2357,0.284,0.0095,0.0008,1.4723,1.9644,0.2433,0.2599,0.0089,0.0011,1.4512,0.2548,0.4968,0.2837,0.5253,0.2498,0.4972
64,1.9999,0.2369,0.2815,0.0094,0.0008,1.4712,1.9822,0.2384,0.258,0.0088,0.0011,1.4759,0.2794,0.5169,0.3113,0.5451,0.2729,0.517
65,1.9817,0.2365,0.2801,0.0095,0.0007,1.4549,1.9574,0.2404,0.257,0.0089,0.0011,1.4501,0.2625,0.5028,0.2942,0.5312,0.259,0.5024
66,1.9753,0.2374,0.2823,0.0095,0.0008,1.4453,1.96,0.2408,0.2574,0.0089,0.0011,1.452,0.2758,0.5168,0.3066,0.5458,0.2701,0.5163
67,1.941,0.238,0.2813,0.0095,0.0009,1.4113,1.9834,0.243,0.2558,0.0089,0.0012,1.4745,0.2622,0.5049,0.2928,0.533,0.2581,0.5052
68,1.9426,0.2369,0.278,0.0095,0.0008,1.4174,1.9499,0.24,0.2564,0.0089,0.0011,1.4436,0.2808,0.5198,0.31,0.5483,0.278,0.5208
69,1.9481,0.2371,0.2777,0.0094,0.0007,1.4232,1.9355,0.2425,0.2553,0.0088,0.001,1.4278,0.255,0.4986,0.2849,0.5278,0.2491,0.4993
70,1.9179,0.2367,0.2786,0.0095,0.0009,1.3922,1.9372,0.2417,0.2514,0.0088,0.001,1.4343,0.2741,0.5158,0.3059,0.5451,0.269,0.5156
71,1.9045,0.2375,0.2759,0.0095,0.0009,1.3807,1.9546,0.2415,0.2528,0.0088,0.0011,1.4503,0.2746,0.5148,0.3064,0.5427,0.2702,0.5149
72,1.8908,0.2371,0.2792,0.0095,0.0008,1.3642,1.9392,0.2403,0.2577,0.0088,0.0011,1.4312,0.2668,0.509,0.2963,0.5368,0.2611,0.5087
73,1.8968,0.2368,0.2758,0.0095,0.0008,1.3739,1.9167,0.2413,0.2534,0.0088,0.0009,1.4122,0.2666,0.5069,0.2966,0.5347,0.2605,0.5069
74,1.8884,0.2361,0.2768,0.0094,0.0011,1.365,1.9742,0.2426,0.2545,0.0089,0.0012,1.467,0.2623,0.5077,0.2919,0.5358,0.2571,0.5076
75,1.8986,0.2367,0.2771,0.0095,0.001,1.3743,1.9389,0.241,0.2547,0.0089,0.001,1.4333,0.2676,0.5118,0.2947,0.5392,0.2658,0.5122
76,1.88,0.2372,0.2753,0.0094,0.0008,1.3573,1.942,0.2419,0.2527,0.0088,0.001,1.4376,0.2606,0.5037,0.2912,0.5312,0.2569,0.5042
77,1.8518,0.238,0.2726,0.0095,0.0009,1.3309,1.9186,0.2411,0.2503,0.0088,0.0012,1.4171,0.2741,0.5162,0.304,0.5441,0.2686,0.5167
78,1.8605,0.2379,0.2742,0.0094,0.0011,1.3378,1.9264,0.2426,0.2505,0.0088,0.0011,1.4234,0.2638,0.5083,0.2924,0.5354,0.2585,0.5087
79,1.8318,0.2374,0.2723,0.0095,0.0009,1.3117,1.9019,0.2425,0.2519,0.0088,0.0011,1.3976,0.2697,0.5141,0.3013,0.542,0.2654,0.5135
80,1.834,0.2376,0.2726,0.0094,0.001,1.3134,1.927,0.2414,0.2503,0.0089,0.001,1.4255,0.2681,0.5112,0.2965,0.5389,0.2655,0.5101
81,1.8352,0.2375,0.2717,0.0094,0.0008,1.3157,1.9094,0.2405,0.2481,0.0088,0.0011,1.4108,0.2808,0.5232,0.3138,0.5514,0.276,0.5229
82,1.8307,0.238,0.2722,0.0094,0.0006,1.3105,1.914,0.2421,0.2488,0.0088,0.0011,1.4133,0.2691,0.5125,0.297,0.5396,0.2666,0.5125
83,1.8254,0.2379,0.272,0.0094,0.0008,1.3052,1.8941,0.2411,0.2475,0.0088,0.0011,1.3956,0.27,0.5108,0.2987,0.5378,0.2677,0.5104
84,1.8358,0.2371,0.2735,0.0095,0.001,1.3146,1.8832,0.2406,0.2469,0.0088,0.0011,1.3859,0.2858,0.5243,0.3178,0.5521,0.2799,0.5236
85,1.8308,0.237,0.2704,0.0095,0.001,1.3129,1.8718,0.241,0.2464,0.0088,0.0011,1.3744,0.2834,0.5241,0.3154,0.5517,0.2778,0.524
86,1.8357,0.2375,0.2709,0.0094,0.0008,1.3172,1.9029,0.2424,0.2477,0.0088,0.0012,1.4027,0.2767,0.5198,0.3078,0.5476,0.2696,0.5188
87,1.8287,0.2368,0.2705,0.0094,0.0008,1.3111,1.898,0.2419,0.2472,0.0089,0.0012,1.3989,0.2765,0.5167,0.3075,0.5441,0.2702,0.5163
88,1.805,0.237,0.2721,0.0095,0.0008,1.2856,1.8768,0.2415,0.247,0.0089,0.0012,1.3782,0.274,0.5155,0.3046,0.5427,0.2683,0.5153
89,1.8116,0.2376,0.2712,0.0095,0.0009,1.2924,1.9065,0.2426,0.2481,0.0089,0.0014,1.4056,0.2667,0.511,0.2947,0.5385,0.2643,0.5104
90,1.8006,0.2378,0.2705,0.0095,0.0006,1.2823,1.8933,0.2434,0.2507,0.0088,0.001,1.3893,0.2638,0.51,0.2931,0.5372,0.2579,0.509
91,1.8122,0.2376,0.2719,0.0095,0.001,1.2922,1.8844,0.2429,0.252,0.0089,0.0013,1.3793,0.2665,0.5119,0.2945,0.5392,0.2641,0.5115
92,1.7986,0.2376,0.2705,0.0094,0.001,1.28,1.9033,0.2437,0.2521,0.0088,0.0012,1.3974,0.2625,0.5075,0.2921,0.5351,0.2568,0.5073
93,1.8173,0.2387,0.2699,0.0094,0.0009,1.2984,1.9045,0.2434,0.2511,0.0088,0.0011,1.4002,0.2663,0.511,0.2952,0.5389,0.2641,0.5104
94,1.8023,0.239,0.27,0.0095,0.0011,1.2827,1.905,0.242,0.2493,0.0088,0.0012,1.4037,0.2675,0.5118,0.2971,0.5396,0.265,0.5115
95,1.7951,0.2382,0.2682,0.0094,0.0008,1.2786,1.888,0.2412,0.2498,0.0088,0.0011,1.3871,0.2792,0.5206,0.3111,0.5483,0.2754,0.5201
96,1.8065,0.2384,0.2701,0.0094,0.0008,1.2878,1.8709,0.242,0.2494,0.0088,0.0012,1.3695,0.2784,0.5216,0.3086,0.5497,0.2747,0.5208
97,1.7803,0.2378,0.2674,0.0094,0.0011,1.2645,1.8779,0.2415,0.245,0.0088,0.0012,1.3815,0.2823,0.5219,0.3119,0.5493,0.2778,0.5212
98,1.7963,0.2382,0.2678,0.0094,0.0008,1.28,1.8772,0.2417,0.2452,0.0088,0.0011,1.3804,0.2822,0.5224,0.3168,0.5503,0.2773,0.5219
